领域,年份,会议或期刊名,文章名,链接,代码仓库,数据集或基准链接,本地的下载路径,文章类别,备注
cs.AI,2020,AAAI,Distance-IoU Loss: Faster and Better Learning for Bounding Box Regression,https://ojs.aaai.org/index.php/AAAI/article/download/6999/6853,https://github.com/Zzh-tju/DIoU,,downloads/aaai/2020/distance-iou-loss-faster-and-better-learning-for-bounding-box-regression,方法型,OpenAlex cited_by_count=4077
cs.AI,2020,AAAI,Random Erasing Data Augmentation,https://ojs.aaai.org/index.php/AAAI/article/download/7000/6854,https://github.com/zhunzhong07/Random-Erasing,,downloads/aaai/2020/random-erasing-data-augmentation,方法型,OpenAlex cited_by_count=2861
cs.AI,2020,AAAI,GMAN: A Graph Multi-Attention Network for Traffic Prediction,https://ojs.aaai.org/index.php/AAAI/article/download/5477/5333,https://github.com/zhengchuanpan/GMAN,,downloads/aaai/2020/gman-a-graph-multi-attention-network-for-traffic-prediction,系统型,OpenAlex cited_by_count=1593
cs.AI,2020,AAAI,Revisiting Graph Based Collaborative Filtering: A Linear Residual Graph Convolutional Network Approach,https://doi.org/10.1609/aaai.v34i01.5330,https://github.com/newlei/LRGCCF,,downloads/aaai/2020/revisiting-graph-based-collaborative-filtering-a-linear-residual-graph-convoluti,方法型,DBLP XML fallback; arXiv abstract code URL match; arXiv:2001.10167v1
cs.AI,2020,AAAI,Norm-Explicit Quantization: Improving Vector Quantization for Maximum Inner Product Search,https://doi.org/10.1609/aaai.v34i01.5333,https://github.com/xinyandai/product-quantization,,,,DBLP XML fallback; GitHub search candidate; stars=61; score=1.29
cs.AI,2021,AAAI,R3Det: Refined Single-Stage Detector with Feature Refinement for Rotating Object,https://ojs.aaai.org/index.php/AAAI/article/download/16426/16233,https://github.com/Thinklab-SJTU/R3Det_Tensorflow,,downloads/aaai/2021/r3det-refined-single-stage-detector-with-feature-refinement-for-rotating-object,bench/dataset型,OpenAlex cited_by_count=1048
cs.AI,2021,AAAI,Voxel R-CNN: Towards High Performance Voxel-based 3D Object Detection,https://ojs.aaai.org/index.php/AAAI/article/download/16207/16014,https://github.com/djiajunustc/Voxel-R-CNN,,downloads/aaai/2021/voxel-r-cnn-towards-high-performance-voxel-based-3d-object-detection,bench/dataset型,OpenAlex cited_by_count=951
cs.AI,2021,AAAI,Optimal Kidney Exchange with Immunosuppressants,https://doi.org/10.1609/aaai.v35i1.16073,https://github.com/mdelorme2/Mathematical_models_and_exact_algorithms_for_kidney_exchange_problems_with_immunosuppressants,,,,DBLP XML fallback; GitHub search candidate; stars=0; score=1.05
cs.AI,2021,AAAI,TreeCaps: Tree-Based Capsule Networks for Source Code Processing,https://doi.org/10.1609/aaai.v35i1.16074,https://github.com/bdqnghi/treecaps,,,,DBLP XML fallback; GitHub search candidate; stars=23; score=1.37
cs.AI,2021,AAAI,Diagnose Like A Pathologist: Weakly-Supervised Pathologist-Tree Network for Slide-Level Immunohistochemical Scoring,https://doi.org/10.1609/aaai.v35i1.16076,https://github.com/franciszchen/PTree-Net,,,,DBLP XML fallback; GitHub search candidate; stars=24; score=1.18
cs.AI,2022,AAAI,UCTransNet: Rethinking the Skip Connections in U-Net from a Channel-Wise Perspective with Transformer,https://ojs.aaai.org/index.php/AAAI/article/download/20144/19903,https://github.com/McGregorWwww/UCTransNet,,downloads/aaai/2022/uctransnet-rethinking-the-skip-connections-in-u-net-from-a-channel-wise-perspect,bench/dataset型,OpenAlex cited_by_count=1023
cs.AI,2022,AAAI,TS2Vec: Towards Universal Representation of Time Series,https://ojs.aaai.org/index.php/AAAI/article/download/20881/20640,https://github.com/yuezhihan/ts2vec,,downloads/aaai/2022/ts2vec-towards-universal-representation-of-time-series,bench/dataset型,OpenAlex cited_by_count=676
